time,x,xdot,y,ydot,theta,thetadot,thrust,alpha,x_err,y_err
0.0166667,1.9995,-0.0604582,9.9988,-0.144541,-0.006042,-0.72504,3.80167,-1.26491,1.9995,9.4988
0.0333333,1.99799,-0.120829,9.99527,-0.278454,-0.0241209,-1.44443,4.03392,-1.10102,1.99799,9.49527
0.05,1.99549,-0.178799,9.98961,-0.401236,-0.0538328,-2.12101,4.25062,-0.920428,1.99549,9.48961
0.0666667,1.99207,-0.232236,9.98199,-0.513292,-0.0941367,-2.71545,4.45084,-0.731238,1.99207,9.48199
0.0833333,1.98781,-0.279648,9.97259,-0.615811,-0.143384,-3.19426,4.63512,-0.542764,1.98781,9.47259
0.1,1.98281,-0.320462,9.96154,-0.710416,-0.199472,-3.53629,4.80525,-0.363868,1.98281,9.46154
0.116667,1.97719,-0.355018,9.94896,-0.798763,-0.260066,-3.73497,4.96375,-0.201488,1.97719,9.44896
0.133333,1.97103,-0.384339,9.93496,-0.882261,-0.322826,-3.79623,5.1132,-0.0599371,1.97103,9.43496
0.15,1.96442,-0.40983,9.91959,-0.961971,-0.385581,-3.73429,5.25578,0.0589558,1.96442,9.41959
0.166667,1.95741,-0.433023,9.90292,-1.03864,-0.446429,-3.56754,5.39316,0.15522,1.95741,9.40292
0.183333,1.95001,-0.455397,9.885,-1.11281,-0.503788,-3.31549,5.52649,0.230056,1.95001,9.385
0.2,1.94224,-0.478283,9.86585,-1.18486,-0.556393,-2.99709,5.65661,0.285296,1.94224,9.36585
0.216667,1.93407,-0.502811,9.84552,-1.25514,-0.603284,-2.62984,5.78411,0.323061,1.93407,9.34552
0.233333,1.92547,-0.529888,9.82403,-1.32395,-0.643778,-2.22949,5.90953,0.345567,1.92547,9.32403
0.25,1.91639,-0.560195,9.8014,-1.39158,-0.677441,-1.81004,6.03332,0.35502,1.91639,9.3014
0.266667,1.90677,-0.594194,9.77765,-1.45828,-0.704056,-1.38375,6.15594,0.353568,1.90677,9.27765
0.283333,1.89655,-0.632142,9.7528,-1.52427,-0.723597,-0.961177,6.27778,0.343261,1.89655,9.2528
0.3,1.88567,-0.67411,9.72685,-1.58973,-0.736201,-0.551263,6.39919,0.326031,1.88567,9.22685
0.316667,1.87405,-0.720009,9.69981,-1.65472,-0.742139,-0.161317,6.52043,0.303665,1.87405,9.19981
0.333333,1.86164,-0.769616,9.6717,-1.71927,-0.741792,0.202939,6.64162,0.277781,1.86164,9.1717
0.35,1.84837,-0.822598,9.64251,-1.78328,-0.735623,0.537318,6.76277,0.24981,1.84837,9.14251
0.366667,1.83419,-0.878538,9.61226,-1.84661,-0.724153,0.839081,6.88376,0.220979,1.83419,9.11226
0.383333,1.81906,-0.936959,9.58096,-1.90905,-0.707937,1.10681,7.00432,0.192303,1.81906,9.08096
0.4,1.80294,-0.997339,9.54863,-1.97031,-0.687545,1.34026,7.1241,0.164582,1.80294,9.04863
0.416667,1.7858,-1.05913,9.51529,-2.03012,-0.663542,1.54012,7.24267,0.138416,1.7858,9.01529
0.433333,1.76762,-1.12177,9.48097,-2.08817,-0.636475,1.70786,7.35954,0.114212,1.76762,8.98097
0.45,1.7484,-1.18471,9.4457,-2.14417,-0.606864,1.84551,7.47421,0.0922131,1.7484,8.9457
0.466667,1.72812,-1.24738,9.40951,-2.19787,-0.575189,1.95544,7.58621,0.0725201,1.72812,8.90951
0.483333,1.70681,-1.30926,9.37245,-2.24904,-0.541892,2.04023,7.69509,0.0551201,1.70681,8.87245
0.5,1.68448,-1.36985,9.33456,-2.29752,-0.507369,2.10248,7.80048,0.0399141,1.68448,8.83456
0.516667,1.66115,-1.42867,9.29588,-2.34319,-0.471976,2.14475,7.90209,0.0267438,1.66115,8.79588
0.533333,1.63687,-1.48529,9.25647,-2.38599,-0.436025,2.16941,7.99969,0.0154146,1.63687,8.75647
0.55,1.61165,-1.53932,9.21637,-2.42591,-0.399791,2.17866,8.09316,0.00571591,1.61165,8.71637
0.566667,1.58557,-1.59044,9.17563,-2.46298,-0.363515,2.17446,8.18245,-0.00256379,1.58557,8.67563
